unique_id,ds,LinearRegression,LinearRegression-lo-99,LinearRegression-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 14:00:00,6954488.794322432,5932715.8634095825,7976261.7252352815
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 14:15:00,6738586.866298239,6176138.029500222,7301035.703096256
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 14:30:00,6793949.830959588,6316060.331563315,7271839.330355861
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 14:45:00,6652056.387922678,6182784.882519254,7121327.893326102
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 15:00:00,6759301.320395791,6204125.43990587,7314477.200885712
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 15:15:00,6813592.674167918,6353230.453140619,7273954.895195217
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 15:30:00,6508644.372848623,6129782.246340784,6887506.499356463
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 15:45:00,6650353.0535460515,6224681.738360432,7076024.368731671
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 16:00:00,6612673.459768255,6167567.790782016,7057779.128754495
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 16:15:00,6548906.742275226,5940652.572858268,7157160.911692183
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 16:30:00,6266309.919160695,5765270.155240105,6767349.683081284
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 16:45:00,6219463.4797902005,5701480.011934108,6737446.947646293
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 17:00:00,6117887.093483132,5529461.0536642345,6706313.13330203
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 17:15:00,6114640.716480739,5523122.335041521,6706159.097919958
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 17:30:00,6160591.335848736,5780638.446052694,6540544.2256447775
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 17:45:00,6065252.861585562,5642705.463259984,6487800.25991114
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 18:00:00,5981231.61043037,5497982.966193899,6464480.254666842
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 18:15:00,5903732.929353798,5366753.935813925,6440711.92289367
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 18:30:00,5903808.986546597,5509137.654287233,6298480.318805962
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 18:45:00,5746085.876240787,5383480.537208862,6108691.2152727125
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 19:00:00,5869115.585847762,5407816.839938874,6330414.3317566505
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 19:15:00,5712197.881463112,5283567.743384744,6140828.019541481
