unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 12:30:00,7303540.3805282675,7577555.626502896,5646922.488304491,8960158.272752045,6698803.045501676,8456308.207504116
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 12:45:00,7057159.840210851,7328053.986893473,5106325.974242129,9007993.706179572,6473889.596648752,8182218.377138195
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 13:00:00,7381235.302705615,7664789.454433487,5889322.662921694,8873147.942489536,6503104.554291303,8826474.354575671
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 13:15:00,7033668.798112528,7249331.460286606,5539668.70474449,8527668.891480567,6200875.093110904,8297787.827462308
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 13:30:00,7264315.971737038,7567533.098579638,5977487.588174815,8551144.355299262,6249109.694277491,8885956.502881784
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 13:45:00,7214989.331703252,7460677.774390368,5920744.9580272855,8509233.705379218,6614693.877013947,8306661.671766789
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 14:00:00,7061057.603137252,7292330.104950104,5823475.500538807,8298639.7057356965,6225131.85616426,8359528.353735948
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 14:15:00,6962108.132003257,7172754.642960279,5822394.982454565,8101821.281551949,5940784.777594778,8404724.508325782
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 14:30:00,7287669.824269628,7553778.891493278,5946805.401480556,8628534.2470587,6313600.10650039,8793957.676486164
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 14:45:00,6873092.296482932,7149993.028776491,5552785.504970991,8193399.087994873,6255344.625086132,8044641.43246685
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 15:00:00,6739779.569519378,6930663.48550397,5427954.092366904,8051605.0466718525,5949129.830297783,7912197.140710156
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 15:15:00,7012289.397289367,7316584.481275281,5615221.204140462,8409357.590438273,6572423.445154644,8060745.517395918
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 15:30:00,7194609.410913297,7502982.017280364,5883310.907360168,8505907.914466426,6342991.874519509,8662972.16004122
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 15:45:00,7152750.224810423,7511413.554360779,5566962.164080731,8738538.285540115,6103082.745499851,8919744.363221707
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 16:00:00,6811048.738185181,7133956.960765917,4782591.155238389,8839506.321131973,6144410.475704102,8123503.445827732
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 16:15:00,6839659.622660851,7100012.194669449,5172497.628303123,8506821.617018579,6034407.929059524,8165616.460279373
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 16:30:00,6950726.352926175,7277604.636547601,5208607.805309698,8692844.900542652,6093904.133255638,8461305.139839564
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 16:45:00,6818739.633736121,7137017.766264722,5264954.0004173,8372525.2670549415,6140352.32207559,8133683.210453854
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 17:00:00,6551646.741303914,6808395.560794915,4654974.997758528,8448318.4848493,5884490.11059208,7732301.01099775
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 17:15:00,6532516.906804254,6789668.659120935,4580633.466319018,8484400.34728949,5989522.2355763335,7589815.082665537
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 17:30:00,5953640.847106316,6148696.47051058,4010306.581254316,7896975.112958316,5306862.738798462,6990530.202222697
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 17:45:00,5894229.846426709,6084488.351271209,3917639.428817499,7870820.264035918,5227442.764432653,6941533.938109766
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 18:00:00,5693121.7733811345,5854195.279723675,3753538.416603405,7632705.130158864,5034415.499161941,6673975.060285409
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 18:15:00,5683466.626831755,5862582.315193842,3623663.118065499,7743270.135598011,4782201.865889558,6942962.764498127
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 18:30:00,5669329.5265168445,5854263.334985495,3694124.1487540207,7644534.904279668,5052442.700473597,6656083.969497392
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 18:45:00,5629029.691814626,5803769.888250016,3898224.664928887,7359834.718700365,4888891.836395158,6718647.940104873
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 19:00:00,5267525.697173974,5403391.439827549,3575678.798456902,6959372.595891045,4272110.408472168,6534672.47118293
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 19:15:00,5388610.176623831,5576957.046730888,3694775.1842153543,7082445.169032307,4471387.105423645,6682526.988038131
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 19:30:00,5480509.759825576,5602927.361465856,3963800.7512872084,6997218.768363944,4313157.882104912,6892696.840826801
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 19:45:00,5525241.651566065,5632874.890134038,4116632.706386766,6933850.596745364,4293542.027466809,6972207.752801267
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 20:00:00,5273121.443644772,5386782.4328721855,3728247.1142862667,6817995.773003277,3943323.361140351,6830241.50460402
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 20:15:00,5330643.738077161,5490211.93052019,4022354.013582349,6638933.462571973,3805513.42155282,7174910.43948756
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 20:30:00,5227370.244941066,5308137.2685341835,3858329.9049115125,6596410.5849706195,3799875.2104774723,6816399.326590895
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 20:45:00,5318866.504232788,5419250.462778554,3981624.7976402864,6656108.210825291,3690930.149890031,7147570.775667078
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 21:00:00,5195009.528051979,5315910.38012242,3615931.3620144925,6774087.694089466,3598233.8288871567,7033586.931357685
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 21:15:00,4534016.892799839,4530773.180908128,3345213.991922189,5722819.79367749,2799657.227709187,6261889.134107068
